20220217 053500;14534;14534.25;14528.75;14531.5;440
20220217 053600;14531.75;14537.25;14531.25;14533.25;382
20220217 053700;14533.75;14534.25;14524.25;14525.25;400
20220217 053800;14525.25;14525.75;14521.25;14524.5;578
20220217 053900;14525;14526;14520;14525.5;369
20220217 054000;14525.75;14528.25;14524;14526;289
20220217 054100;14526;14527;14524;14524.25;226
20220217 054200;14524.75;14532;14524.75;14528.25;446
20220217 054300;14527.5;14527.75;14520.5;14522;278
20220217 054400;14522.5;14524.5;14517;14517;436
20220217 054500;14517.75;14521.25;14516.75;14519.75;405
20220217 054600;14520.25;14521.25;14517;14518;272
20220217 054700;14518.25;14519.5;14514.25;14516;365
20220217 054800;14516.5;14519.75;14516.25;14516.5;128
20220217 054900;14516.75;14517.5;14510;14512;492
20220217 055000;14511.5;14516;14511;14512.75;288
20220217 055100;14512.75;14517.5;14512.75;14513.75;244
20220217 055200;14513.75;14516.25;14510.25;14512;211
20220217 055300;14512.5;14512.75;14505.75;14508.25;387
20220217 055400;14509;14510.5;14502.75;14509.5;424
20220217 055500;14509.5;14514.5;14509.25;14513;401
20220217 055600;14512.5;14518.25;14510;14517.5;297
20220217 055700;14517.75;14519;14514;14517.25;252
20220217 055800;14516.5;14516.75;14512.25;14513.75;200
20220217 055900;14513.5;14518.75;14513;14514.5;287
20220217 060000;14513;14521.75;14511.5;14521;546
20220217 060100;14520.5;14520.75;14506.25;14518;1070
20220217 060200;14517.75;14520.5;14517;14518.75;354
20220217 060300;14518.75;14529;14515.25;14529;491
20220217 060400;14529.25;14529.25;14518.75;14520.75;591
20220217 060500;14520;14522.5;14514.5;14516;417
20220217 060600;14516;14517.25;14506.75;14508;418
20220217 060700;14507;14510.25;14502.5;14510;575
20220217 060800;14508.75;14511.5;14508.25;14509.75;288
20220217 060900;14509.75;14511.75;14507.25;14510.75;227
20220217 061000;14510;14512;14507.5;14508.75;210
20220217 061100;14508.25;14509.25;14494;14495;1053
20220217 061200;14494.5;14499.25;14494;14498;516
20220217 061300;14497.75;14498;14494.75;14496;404
20220217 061400;14496;14497.25;14494;14496.25;469
20220217 061500;14496.5;14501.75;14492.75;14494.25;501
20220217 061600;14494.25;14500.25;14492;14498.5;385
20220217 061700;14498.25;14504.5;14498.25;14500.25;397
20220217 061800;14499;14500.5;14495.75;14500.25;195
20220217 061900;14499;14503.25;14498;14500.25;247
20220217 062000;14500.25;14509.75;14500;14508.25;478
20220217 062100;14508;14513;14500.75;14507.5;715
20220217 062200;14508;14509.25;14506.25;14506.25;140
20220217 062300;14506.25;14509;14505.75;14507.5;208
20220217 062400;14507;14507;14500;14504;332
20220217 062500;14504;14505;14501.5;14501.5;146
20220217 062600;14501.5;14502.25;14497.25;14499.25;293
20220217 062700;14499;14503.75;14497.25;14503.25;249
20220217 062800;14503.75;14504.5;14502.25;14503;164
20220217 062900;14503.25;14506;14502;14504.5;136
20220217 063000;14504.75;14543.25;14498.25;14540.75;3488
20220217 063100;14542;14546.25;14524.25;14526.5;2735
20220217 063200;14525.5;14525.75;14498.25;14498.25;2112
20220217 063300;14498.25;14509;14491.5;14504;1325
20220217 063400;14504;14504.75;14499.25;14500.75;732
20220217 063500;14501.5;14510;14501.25;14508.75;478
20220217 063600;14509;14515.25;14502;14508.25;778
20220217 063700;14508.25;14512.75;14506.25;14510.5;321
20220217 063800;14511;14512.5;14508.25;14511.75;285
20220217 063900;14511.75;14513.5;14505.75;14513.5;285
20220217 064000;14512.75;14512.75;14509.75;14511.25;186
20220217 064100;14511.5;14521.25;14511.5;14518.75;665
20220217 064200;14518.75;14522;14515.5;14517.5;324
20220217 064300;14517;14519;14516;14516;182
