No,Ticker,MarketCap,PE,FwdPE,PEG,PS,PB,PC,PFCF,EPSthisY,EPSnextY,EPSpast5Y,EPSnext5Y,Salespast5Y,Price,Change,Volume
120,CTRA,18.02B,26.58,6.82,0.36,10.72,3.99,236.19,60.41,-69.30%,16.56%,30.70%,74.49%,1.60%,22.92,-1.31%,"3,152,939"
121,CTSH,46.81B,21.29,16.95,1.85,2.53,3.92,19.40,27.60,-21.80%,11.72%,-0.60%,11.49%,6.00%,88.79,2.96%,"1,414,508"
122,CTVA,37.03B,20.92,17.55,0.93,2.37,1.46,8.15,21.07,149.40%,16.46%,29.80%,22.39%,2.40%,50.97,0.15%,"1,291,182"
123,CTXS,12.74B,41.87,17.66,6.44,3.96,31.76,28.32,36.77,-20.50%,11.77%,24.40%,6.50%,4.10%,102.07,0.11%,"1,878,210"
124,CVS,136.59B,17.29,11.48,3.01,0.47,1.81,10.91,10.41,8.80%,8.15%,3.90%,5.74%,10.50%,103.08,0.08%,"2,602,094"
125,CVX,258.20B,16.80,14.82,-,1.66,1.93,42.80,-,-291.90%,-11.97%,-26.20%,-4.90%,-6.10%,134.48,-1.60%,"8,096,052"
126,CZR,17.93B,-,76.70,-,2.12,3.55,-,113.51,72.90%,135.80%,-49.90%,27.50%,37.00%,84.74,4.32%,"993,287"
127,D,63.12B,24.79,17.99,3.62,4.64,2.60,350.66,-,119.90%,6.19%,-11.90%,6.85%,3.90%,78.84,0.11%,"1,007,789"
128,DAL,27.86B,101.13,7.35,7.60,0.93,10.26,2.11,-,-366.80%,187.94%,-40.40%,13.31%,-15.90%,44.47,5.97%,"10,552,576"
129,DD,41.64B,24.75,14.39,1.80,2.50,1.55,-,19.83,-314.70%,15.34%,-17.30%,13.73%,-16.00%,81.56,2.82%,"776,926"
130,DE,119.50B,20.39,15.37,1.59,2.72,6.50,14.91,20.47,118.60%,13.46%,31.60%,12.84%,10.50%,394.89,1.97%,"804,807"
131,DFS,36.57B,7.43,8.83,0.13,3.43,3.03,2.88,6.98,-60.40%,0.26%,-6.90%,56.42%,6.90%,128.15,3.21%,"873,172"
132,DG,46.82B,19.64,17.90,2.97,1.38,7.54,95.81,38.17,60.00%,10.18%,21.90%,6.62%,10.60%,200.15,-0.23%,"808,752"
133,DGX,16.15B,8.38,15.37,-,1.50,2.51,16.36,8.66,70.70%,-6.26%,16.60%,-10.24%,4.70%,131.36,0.82%,"607,862"
134,DHI,29.67B,6.65,4.97,0.61,1.03,1.88,12.15,142.78,78.00%,5.98%,37.00%,10.95%,18.00%,84.63,2.03%,"1,345,459"
135,DHR,200.80B,32.07,24.72,1.90,6.82,4.83,78.68,32.47,49.80%,5.01%,14.60%,16.87%,9.10%,271.39,-0.04%,"1,192,280"
136,DIS,279.59B,87.65,26.85,2.03,3.83,3.05,19.36,188.53,170.70%,29.54%,-28.00%,43.17%,3.90%,154.62,2.50%,"7,595,733"
137,DISCA,15.11B,15.70,9.20,3.18,1.27,1.28,4.85,7.26,-37.10%,16.12%,11.60%,4.93%,10.80%,30.35,3.18%,"2,233,650"
138,DISCK,-,19.62,9.19,0.98,-,1.66,-,-,-15.30%,17.70%,-,20.00%,-,30.20,2.98%,"1,627,357"
139,DISH,16.72B,7.43,11.05,-,0.93,1.09,3.19,5.50,15.90%,-22.53%,11.90%,-,0.30%,32.08,3.60%,"785,556"
140,DLR,39.75B,57.54,89.33,2.48,9.08,2.33,342.64,-,-57.40%,-39.60%,-8.50%,23.19%,17.20%,137.45,0.96%,"770,981"
141,DLTR,30.92B,23.12,18.35,1.55,1.19,4.25,44.09,87.50,62.90%,34.31%,34.90%,14.90%,10.50%,138.26,0.95%,"960,549"
142,DOV,23.75B,20.83,17.03,1.44,3.00,5.96,32.13,31.69,1.90%,9.92%,4.70%,14.50%,-0.80%,163.20,1.27%,"267,681"
143,DOW,44.65B,7.26,9.23,0.13,0.81,2.47,-,7.07,411.70%,-1.38%,7.80%,56.83%,2.70%,61.91,1.78%,"2,413,903"
144,DPZ,15.93B,32.73,28.22,2.69,3.64,-,34.47,32.73,29.70%,12.01%,29.00%,12.16%,13.20%,431.36,0.15%,"161,988"
145,DRE,21.05B,24.28,56.76,4.05,19.04,3.48,2126.68,-,-31.60%,11.61%,8.50%,6.00%,4.60%,54.58,0.06%,"633,779"
146,DRI,18.63B,20.49,16.97,0.68,2.17,7.29,24.96,39.28,75.60%,12.00%,11.50%,30.10%,0.70%,146.62,2.23%,"394,468"
147,DTE,22.43B,29.34,18.52,4.89,1.65,2.57,800.99,10.50,-24.90%,5.86%,-3.30%,6.00%,7.10%,117.21,1.00%,"846,758"
148,DUK,76.93B,20.25,17.34,5.47,3.07,1.62,-,-,-66.40%,5.45%,-14.80%,3.70%,1.30%,99.79,-0.16%,"1,502,755"
149,DVA,11.56B,12.81,11.19,0.96,1.00,10.36,10.78,10.29,39.30%,23.47%,38.60%,13.37%,-3.50%,116.62,2.61%,"315,143"
150,DVN,34.14B,30.23,9.48,1.21,3.83,3.93,14.71,12.41,3855.60%,64.25%,26.40%,25.00%,-18.20%,51.29,-1.85%,"7,356,207"
151,DXC,9.20B,-,8.40,-,0.55,1.92,3.15,13.15,97.10%,19.05%,-27.90%,29.10%,20.10%,37.38,1.89%,"565,450"
152,DXCM,41.49B,76.52,85.94,4.14,17.89,18.47,15.38,412.79,362.20%,37.79%,55.20%,18.50%,36.80%,415.92,2.19%,"318,862"
153,EA,37.76B,60.04,17.68,2.59,5.80,4.96,12.52,25.76,-72.20%,9.09%,-3.90%,23.16%,5.10%,133.98,0.43%,"739,889"
154,EBAY,36.69B,20.73,12.89,1.66,3.44,3.44,2.52,17.11,99.90%,13.74%,17.30%,12.49%,3.60%,59.59,2.42%,"1,615,725"
155,ECL,53.25B,46.66,32.98,2.69,4.28,7.56,59.30,55.77,-36.60%,16.86%,0.30%,17.33%,-2.70%,182.68,-0.13%,"1,208,682"
156,ED,29.29B,24.78,18.53,12.39,2.22,1.46,443.75,19.08,-19.50%,5.96%,-4.10%,2.00%,-0.50%,82.00,-1.23%,"535,082"
157,EFX,27.72B,36.68,21.67,2.70,5.63,7.61,13.69,49.38,228.40%,16.52%,3.60%,13.60%,9.20%,222.43,0.66%,"609,224"
158,EIX,22.94B,29.96,13.18,5.16,1.56,1.68,43.78,-,-47.50%,2.17%,-8.00%,5.80%,3.30%,60.21,0.25%,"1,080,284"
159,EL,114.36B,34.33,35.07,2.27,6.45,17.62,24.84,61.52,318.10%,13.76%,21.40%,15.09%,7.60%,309.54,1.87%,"459,104"
